epoch,loss,auc,val_loss,val_auc
0,0.5240848135203123,0.5915799241119754,0.47211114317178726,0.6680509074259074
1,0.5259927731007338,0.6315324098977946,0.4515015669167042,0.7178825560404508
2,0.5449664613232017,0.5429707890044428,0.47462531104683875,0.6378404490246595
3,0.5467512099072337,0.5827715394273836,0.4785837322473526,0.713628663003663
4,0.5426188915967941,0.5602344084486942,0.484854356944561,0.6545931152181153
5,0.5371812023222446,0.5922886230578538,0.46794935315847397,0.6845184907684908
6,0.5420799363404513,0.5848962263123656,0.48140580356121065,0.6706168831168833
7,0.5290971327573061,0.59041060501998,0.47007917016744616,0.6594130406630406
8,0.538750209286809,0.5737749885395989,0.48535219579935074,0.6606722444222444
9,0.5325613489374519,0.5808516092169939,0.47282951325178146,0.6733254245754245
