epoch,loss,auc,val_loss,val_auc
0,0.5420055404305458,0.5405558517337363,0.489184108376503,0.5342648579490684
1,0.5505101077258587,0.5093467713720877,0.49071665704250333,0.4905151098901099
2,0.5800123441964388,0.47940638421407655,0.49751113802194596,0.6460039960039962
3,0.5820555493235589,0.49646219165449934,0.48826430886983874,0.5214348151848152
4,0.5788571538403631,0.470981023196213,0.49496352970600127,0.5676635864135864
5,0.5557744052261114,0.5482205728299478,0.4872730866074562,0.6009673659673659
6,0.5541258448734879,0.5287914957786753,0.49230759739875796,0.4966833166833166
7,0.5501649411395192,0.4892103026843287,0.4800276279449463,0.6178844072594073
8,0.5589362990111113,0.48655446465511404,0.49835876524448397,0.5323495254745255
9,0.5476834829896688,0.5232891010185314,0.48476792573928834,0.5879053585303585
