epoch,loss,auc,val_loss,val_auc
0,0.72398461997509,0.4913990923606309,0.7209773987531662,0.4461810119704857
1,0.8626904398202896,0.46006326303794653,0.8617664963006973,0.43924737543158604
2,0.8589022599160672,0.5201317845305187,0.8576477915048599,0.49314793393740747
3,0.7360947266221046,0.5140865589182895,0.7406913876533509,0.5081427344585239
4,0.749047078192234,0.5136386995564212,0.7446658611297607,0.5229945054945053
5,0.7730459213256836,0.46667262744565374,0.7417056560516357,0.517302281052281
6,0.7457653157413006,0.45644119057580584,0.7149349927902222,0.49609182484182474
7,0.6846183605492115,0.5285913980534234,0.7055079072713852,0.41010729037044824
8,0.7438731707632542,0.5225867014929515,0.7518532067537308,0.5225869963369963
9,0.6995749659836292,0.5070373892489277,0.7239761054515839,0.465227688977689
