epoch,loss,auc,val_loss,val_auc
0,0.6491676986217498,0.4750713031557189,0.6453172147274018,0.44643876956376954
1,0.7546534821391105,0.4866973216656761,0.7592951685190201,0.47114530206635463
2,0.6960613287985324,0.5042079492237721,0.6968620628118515,0.4680467449217449
3,0.7191029943525791,0.5040469946719947,0.7214682996273041,0.468230672835936
4,0.6998902074992657,0.5255247593315776,0.7002646535634994,0.4828005328005329
5,0.6666558720171452,0.5065318316551869,0.6648403733968735,0.4298174048174048
6,0.6423202395439148,0.5147201801047955,0.6379648447036743,0.5437581862581863
7,0.6623388148844243,0.49657482830559746,0.6597021073102951,0.433375999000999
8,0.7210408687591553,0.4812008771143388,0.7229719907045364,0.5170561894246104
9,0.7444961726665497,0.4638094149170097,0.7477521300315857,0.5424473674473673
